ID,collect_datetime,step_count
#AAGQKY,2022-07-19,72
#ACGRQP,2022-07-23,10079
#ACGRQP,2022-07-24,2778
#ACGRQP,2022-07-26,1257
#ACGRQP,2022-07-27,692
#ACGRQP,2022-08-01,2709
#ACGRQP,2022-08-04,514
#ACGRQP,2022-08-08,3832
#ACGRQP,2022-08-10,5650
#ACGRQP,2022-08-12,457
#ACGRQP,2022-08-13,18
#ACGRQP,2022-08-14,3438
#ACGRQP,2022-08-18,1945
#ACGRQP,2022-08-19,3048
#ACGRQP,2022-08-20,17
#ACGRQP,2022-08-21,5320
#AEGMOD,2022-07-17,100
#AEGMOD,2022-07-18,1129
#AEGMOD,2022-07-26,57
#AEGMOD,2022-07-27,117
#AEGMOD,2022-07-28,1360
#AEGMOD,2022-07-29,435
#AEGMOD,2022-07-30,3349
#AEGMOD,2022-07-31,7078
#AEGMOD,2022-08-01,21
#AEGMOD,2022-08-04,100
#AEGMOD,2022-08-06,411
#AEGMOD,2022-08-08,28
#AEGMOD,2022-08-11,1401
#AEGMOD,2022-08-13,138
#AEGMOD,2022-08-14,5678
#AEGMOD,2022-08-17,96
#AEGMOD,2022-08-19,115
#AEGMOD,2022-08-23,20
#AEGMOD,2022-08-25,3065
#AEGMOD,2022-08-26,3381
#AJXZPA,2022-07-19,67
#AJXZPA,2022-07-21,3557
#AJXZPA,2022-07-22,731
#AJXZPA,2022-07-23,10
#ALZXWR,2022-07-28,200
#ALZXWR,2022-07-29,4471
#ALZXWR,2022-07-30,209
#ALZXWR,2022-07-31,88
#ALZXWR,2022-08-03,6
#ALZXWR,2022-08-04,11
#ALZXWR,2022-08-05,2066
#ALZXWR,2022-08-09,6
#ALZXWR,2022-08-10,32
#ALZXWR,2022-08-11,35
#AMMIRA,2022-07-15,13256
#AMMIRA,2022-07-18,20159
#AMMIRA,2022-07-19,15207
#AMMIRA,2022-07-20,12987
#AMMIRA,2022-07-21,11406
#AMMIRA,2022-07-22,16431
#AMMIRA,2022-07-23,11046
#AMMIRA,2022-07-24,15597
#AMMIRA,2022-07-25,7202
#AMMIRA,2022-07-29,247
#AMMIRA,2022-07-31,4812
#AMMIRA,2022-08-02,5452
#AMMIRA,2022-08-07,4832
#AMMIRA,2022-08-11,11471
#AMMIRA,2022-08-15,4332
#AOLPEC,2022-07-20,9696
#AOLPEC,2022-07-24,26
